MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,MaritalDesc,CitizenDesc,TermReason,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,tenure_days,age_group
0,0,1,1,5,4,0,62506,0,19,22,3,2,3,0,3,5,0,4.6,5,0,13,0,1,4563,2
1,1,1,5,3,3,0,104437,1,27,30,1,2,5,2,2,4,1,4.96,3,6,65,0,17,444,-1
1,1,0,5,5,3,0,64955,1,20,23,1,2,7,2,3,5,1,3.02,3,0,117,0,3,447,1
1,1,0,1,5,3,0,64991,0,19,22,1,2,3,0,3,4,1,4.84,5,0,28,0,15,5838,1
0,2,0,5,5,3,0,50825,1,19,22,0,2,16,2,3,3,1,5.0,4,0,43,0,2,1884,1
0,0,0,1,5,4,0,57568,0,19,22,3,2,3,0,3,5,0,5.0,5,0,38,0,15,4375,2
0,0,0,1,4,3,0,95660,0,24,27,3,2,3,0,5,5,1,3.04,3,4,18,0,19,3339,2
0,4,1,1,5,3,0,59365,0,19,22,4,2,3,0,3,2,1,5.0,4,0,66,0,19,3745,2
0,0,0,3,5,3,1,47837,0,19,22,3,2,3,0,3,1,1,4.46,3,0,24,0,4,5292,-1
0,2,1,1,3,3,0,50178,0,14,17,0,2,3,0,2,4,1,5.0,5,6,57,0,16,3283,1
1,1,0,5,5,3,1,54670,1,19,22,1,2,0,2,3,1,1,4.2,4,0,30,0,12,2194,-1
1,1,1,5,5,3,1,47211,1,19,22,1,2,17,2,3,1,1,4.2,3,0,123,0,15,1631,-1
0,2,1,1,3,4,1,92328,0,9,6,0,2,3,0,2,1,0,4.28,4,5,66,0,9,3339,1
0,0,1,1,5,3,0,58709,0,19,22,3,2,3,0,3,3,1,4.6,4,0,52,0,7,4333,2
0,2,1,5,5,3,0,52505,1,19,22,0,2,0,2,3,6,1,5.0,5,0,87,0,1,1655,2
0,0,1,4,5,3,0,57834,1,19,22,3,2,4,1,3,3,1,5.0,4,0,112,0,20,2356,2
1,1,0,2,5,4,0,70131,0,20,23,1,2,3,0,3,2,0,4.4,3,0,6,0,16,2720,-1
0,0,0,1,5,3,0,59026,0,19,22,3,0,3,0,3,3,1,5.0,5,0,6,0,12,4655,-1
0,0,0,4,3,3,0,110000,1,8,9,3,2,13,1,2,3,1,4.5,4,5,8,0,8,432,1
0,0,1,3,5,3,0,53250,0,19,22,3,2,3,0,3,5,1,4.2,4,0,4,0,13,3829,2
0,0,1,1,5,3,0,51044,0,19,22,3,2,3,0,3,3,1,5.0,3,0,6,0,13,4291,-1
0,2,0,1,5,3,0,64919,0,19,22,0,2,3,0,3,4,1,4.2,3,0,3,0,2,3787,-1
1,1,0,1,5,4,0,62910,0,19,22,1,2,3,0,3,4,0,5.0,3,0,68,0,19,3465,1
0,0,0,1,5,2,0,66441,0,20,23,3,2,3,0,3,0,2,2.0,3,0,68,2,3,4655,1
0,0,0,5,5,3,0,57815,1,20,23,3,2,5,2,3,3,1,4.8,5,0,92,0,5,1180,-1
0,0,1,4,3,3,0,103613,1,30,12,3,2,2,1,2,5,1,3.5,5,7,2,0,2,732,-1
1,1,0,1,1,3,1,106367,0,26,29,1,2,3,0,0,1,1,5.0,4,3,57,0,4,3241,1
0,0,1,5,5,3,0,74312,1,18,21,3,2,15,2,3,4,1,3.39,3,0,62,0,14,311,-1
1,1,0,5,5,3,0,53492,1,19,22,1,2,0,2,3,3,1,3.35,4,0,91,0,6,439,1
1,1,0,1,1,3,1,63000,0,1,0,1,2,3,0,0,1,1,4.5,2,6,10,0,14,5544,1
0,0,1,1,5,3,0,65288,0,20,23,3,2,3,0,3,3,1,3.19,3,0,44,0,9,3381,2
0,3,0,3,5,3,1,64375,0,19,22,2,2,3,0,3,1,1,3.5,5,0,20,0,17,3703,-1
1,1,0,5,6,3,0,74326,1,3,2,1,0,0,2,4,3,1,3.14,5,0,45,1,19,1083,-1
0,0,0,1,5,3,0,63763,0,20,23,3,2,3,0,3,2,1,4.51,4,0,63,0,3,4319,2
1,1,1,1,5,3,0,62162,0,20,23,1,2,3,0,3,4,1,3.25,5,0,6,0,15,4655,2
0,0,1,1,4,3,0,77692,0,25,28,3,2,3,0,5,3,1,3.84,3,5,20,0,4,4522,-1
0,0,1,1,5,4,0,72640,0,18,21,3,2,3,0,3,4,0,5.0,3,0,64,0,14,2895,2
